Switch,Sound,Smoothness,Feel,Overall,Price Weighted,Total,Weighted Total,Price,Name,Personal Rating,,MAX Total
KNC Green Jackets,8,9,9,9,8,35,43,$0.65,KNC Green Jackets,9,,40
Matcha Latte,8,8,9,9,8,34,42,$0.65,Matcha Latte,9,,Max Weighted Total
Box Ink V2,6,9,9,8,6,32,38,$0.85,Box Ink V2,8,,50
KTT Strawberry,8,7.5,8,8,10,31.5,41.5,$0.40,KTT Strawberry,8,,
JWICK Ginger Milk,8,7,8,8,6,31,37,$0.65,JWICK Ginger Milk,7.5,,
Aurora Fog,7.5,7.5,8,7.5,9,30.5,39.5,$0.50,Aurora Fog,7.5,,
Nebula,7,8,8,7,7,30,37,$0.65,Nebula,7,,
Keyfirst Bling (Pink),8,7,7,8,8,30,38,$0.55,Keyfirst Bling (Pink),7,,
KTT Rose,6,8,8,8,10,30,40,$0.27,KTT Rose,6,,
SP Star Meteor White,7,7,7,8,7,29,36,$0.57,SP Star Meteor White,8,,
Oooolong,7,6,8,8,6,29,35,$0.65,Oooolong,8,,
AE Raed V1.5,8,6,7,7,7,28,35,$0.65,AE Raed V1.5,7.5,,
Alpaca V2,6,8,7,7,7,28,35,$0.55,Alpaca V2,6,,
Quartz V2,7,7,7,7,5,28,33,$0.68,Quartz V2,6,,
WS Aurora Clear,5,7,8,7,9,27,36,$0.50,WS Aurora Clear,6,,
SP Star Blue Pink,7,6,6.5,7,6,26.5,32.5,$0.58,SP Star Blue Pink,7,,
Oil King,6,7,7,6,4,26,30,$0.65,Oil King,4,,
Gateron KS-9 Pro 1.0,9,4,6,6,6,25,31,$0.24,Gateron KS-9 Pro 1.0,4,,
Alexandrite,5,8,6,6,7,25,32,$0.55,Alexandrite,4,,
Cherry Hyperglide Black,5,3,4,4,2,16,18,$0.49,Cherry Hyperglide Black,2,,